name,type3B_T1.G.1_T1.G.1_gap2,type3B_T1.G.1_T1.G.2_gap2,type3B_T1.G.2_T1.G.1_gap2,type3B_T1.G.2_T1.G.2_gap2,target
CPP_positive_58,4.0,0.0,0.0,0.0,1
CPP_positive_59,5.0,1.0,1.0,1.0,1
CPP_positive_60,3.0,0.0,1.0,0.0,1
CPP_positive_61,7.0,0.0,0.0,2.0,1
CPP_positive_62,6.0,0.0,0.0,0.0,1
CPP_positive_63,6.0,0.0,2.0,0.0,1
CPP_positive_64,0.0,2.0,2.0,2.0,1
CPP_positive_65,1.0,0.0,3.0,4.0,1
CPP_positive_66,2.0,1.0,1.0,0.0,1
CPP_positive_67,3.0,2.0,1.0,0.0,1
CPP_positive_68,3.0,1.0,0.0,0.0,1
CPP_positive_69,6.0,1.0,0.0,1.0,1
CPP_positive_70,3.0,1.0,1.0,0.0,1
CPP_positive_71,6.0,0.0,0.0,0.0,1
CPP_positive_72,8.0,0.0,0.0,0.0,1
CPP_positive_73,4.0,0.0,0.0,0.0,1
CPP_positive_74,4.0,0.0,1.0,0.0,1
CPP_positive_75,7.0,0.0,0.0,0.0,1
CPP_positive_76,3.0,0.0,0.0,0.0,1
CPP_positive_77,3.0,1.0,0.0,0.0,1
CPP_positive_78,2.0,0.0,2.0,0.0,1
CPP_positive_79,2.0,0.0,1.0,0.0,1
CPP_positive_80,1.0,1.0,2.0,0.0,1
CPP_positive_81,7.0,2.0,0.0,1.0,1
CPP_positive_82,4.0,0.0,1.0,0.0,1
CPP_positive_83,3.0,0.0,0.0,3.0,1
CPP_positive_84,4.0,2.0,1.0,2.0,1
CPP_positive_85,2.0,0.0,2.0,0.0,1
CPP_positive_86,6.0,0.0,0.0,0.0,1
CPP_positive_87,2.0,1.0,4.0,0.0,1
CPP_positive_88,8.0,0.0,0.0,0.0,1
CPP_positive_89,4.0,1.0,0.0,1.0,1
CPP_positive_90,5.0,0.0,0.0,0.0,1
CPP_positive_91,5.0,1.0,1.0,1.0,1
CPP_positive_92,2.0,0.0,2.0,0.0,1
CPP_positive_93,6.0,0.0,1.0,2.0,1
CPP_positive_94,3.0,3.0,2.0,0.0,1
CPP_positive_95,2.0,2.0,1.0,0.0,1
CPP_positive_96,4.0,0.0,0.0,0.0,1
CPP_positive_97,1.0,1.0,2.0,0.0,1
CPP_positive_98,2.0,0.0,2.0,1.0,1
CPP_positive_99,1.0,1.0,1.0,0.0,1
CPP_positive_100,2.0,0.0,0.0,0.0,1
CPP_positive_101,2.0,0.0,1.0,0.0,1
CPP_positive_102,1.0,2.0,1.0,0.0,1
CPP_positive_103,4.0,0.0,0.0,0.0,1
CPP_positive_104,5.0,2.0,3.0,0.0,1
CPP_positive_105,1.0,2.0,2.0,1.0,1
CPP_positive_106,3.0,0.0,0.0,0.0,1
CPP_positive_107,6.0,1.0,1.0,0.0,1
CPP_positive_108,2.0,2.0,0.0,0.0,1
CPP_positive_109,3.0,0.0,1.0,0.0,1
CPP_positive_110,4.0,0.0,0.0,0.0,1
CPP_positive_111,4.0,1.0,0.0,1.0,1
CPP_positive_112,4.0,1.0,0.0,0.0,1
CPP_positive_113,2.0,0.0,1.0,1.0,1
CPP_positive_114,3.0,1.0,1.0,2.0,1
CPP_positive_115,4.0,0.0,0.0,0.0,1
CPP_positive_116,3.0,1.0,0.0,0.0,1
CPP_positive_117,4.0,1.0,1.0,0.0,1
CPP_positive_118,2.0,1.0,2.0,0.0,1
CPP_positive_119,3.0,0.0,1.0,0.0,1
CPP_positive_120,6.0,0.0,3.0,0.0,1
CPP_positive_121,2.0,1.0,0.0,1.0,1
CPP_positive_122,6.0,1.0,2.0,0.0,1
CPP_positive_123,9.0,0.0,0.0,0.0,1
CPP_positive_124,3.0,0.0,2.0,0.0,1
CPP_positive_125,3.0,1.0,0.0,0.0,1
CPP_positive_126,2.0,1.0,2.0,1.0,1
CPP_positive_127,7.0,1.0,1.0,0.0,1
CPP_positive_128,3.0,1.0,2.0,0.0,1
CPP_positive_129,1.0,2.0,3.0,0.0,1
CPP_positive_130,1.0,4.0,1.0,0.0,1
CPP_positive_131,5.0,1.0,0.0,0.0,1
CPP_positive_132,2.0,2.0,2.0,0.0,1
CPP_positive_133,2.0,2.0,2.0,0.0,1
CPP_positive_134,5.0,1.0,2.0,1.0,1
CPP_positive_135,3.0,1.0,0.0,0.0,1
CPP_positive_136,5.0,0.0,1.0,1.0,1
CPP_positive_137,3.0,2.0,1.0,0.0,1
CPP_positive_138,5.0,0.0,0.0,0.0,1
CPP_positive_139,4.0,2.0,1.0,0.0,1
CPP_positive_140,7.0,0.0,1.0,1.0,1
CPP_positive_141,2.0,1.0,1.0,1.0,1
CPP_positive_142,4.0,0.0,1.0,0.0,1
CPP_positive_143,4.0,0.0,1.0,0.0,1
CPP_positive_144,4.0,1.0,0.0,0.0,1
CPP_positive_145,6.0,0.0,0.0,0.0,1
CPP_positive_146,6.0,2.0,2.0,0.0,1
CPP_positive_147,5.0,1.0,2.0,0.0,1
CPP_positive_148,4.0,1.0,3.0,0.0,1
CPP_positive_149,6.0,2.0,0.0,0.0,1
CPP_positive_150,3.0,4.0,1.0,1.0,1
CPP_positive_151,6.0,0.0,1.0,1.0,1
CPP_positive_152,6.0,2.0,0.0,0.0,1
CPP_positive_153,5.0,2.0,1.0,0.0,1
CPP_positive_154,8.0,1.0,0.0,1.0,1
CPP_positive_155,1.0,0.0,3.0,0.0,1
CPP_positive_156,9.0,0.0,0.0,0.0,1
CPP_positive_157,10.0,0.0,0.0,0.0,1
CPP_positive_158,10.0,0.0,0.0,0.0,1
CPP_positive_159,4.0,2.0,2.0,0.0,1
CPP_positive_160,6.0,1.0,2.0,0.0,1
CPP_positive_161,2.0,1.0,3.0,1.0,1
CPP_positive_162,2.0,1.0,2.0,2.0,1
CPP_positive_163,3.0,1.0,2.0,2.0,1
CPP_positive_164,3.0,1.0,2.0,0.0,1
CPP_positive_165,7.0,1.0,0.0,0.0,1
CPP_positive_166,2.0,3.0,0.0,1.0,1
CPP_positive_167,6.0,1.0,0.0,0.0,1
CPP_positive_168,8.0,0.0,0.0,0.0,1
CPP_positive_169,1.0,2.0,1.0,2.0,1
CPP_positive_170,1.0,2.0,1.0,2.0,1
CPP_positive_171,4.0,0.0,1.0,0.0,1
CPP_positive_172,2.0,1.0,2.0,2.0,1
CPP_positive_173,3.0,0.0,1.0,0.0,1
CPP_positive_174,4.0,1.0,2.0,0.0,1
CPP_positive_175,5.0,1.0,0.0,1.0,1
CPP_positive_176,8.0,0.0,1.0,1.0,1
CPP_positive_177,5.0,1.0,1.0,0.0,1
CPP_positive_178,3.0,1.0,0.0,0.0,1
CPP_positive_179,5.0,2.0,0.0,2.0,1
CPP_positive_180,4.0,1.0,4.0,0.0,1
CPP_positive_181,7.0,0.0,0.0,0.0,1
CPP_positive_182,7.0,0.0,0.0,0.0,1
CPP_positive_183,7.0,0.0,0.0,0.0,1
CPP_positive_184,2.0,2.0,2.0,0.0,1
CPP_positive_185,3.0,1.0,1.0,0.0,1
CPP_positive_186,2.0,2.0,2.0,0.0,1
CPP_positive_187,4.0,0.0,1.0,0.0,1
CPP_positive_188,2.0,1.0,2.0,0.0,1
CPP_positive_189,7.0,1.0,2.0,0.0,1
CPP_positive_190,7.0,1.0,1.0,1.0,1
CPP_positive_191,7.0,1.0,1.0,0.0,1
CPP_positive_192,3.0,0.0,2.0,0.0,1
CPP_positive_193,4.0,1.0,0.0,0.0,1
CPP_positive_194,5.0,1.0,0.0,0.0,1
CPP_positive_195,5.0,1.0,1.0,0.0,1
CPP_positive_196,4.0,1.0,0.0,1.0,1
CPP_positive_197,4.0,1.0,0.0,1.0,1
CPP_positive_198,4.0,1.0,0.0,1.0,1
CPP_positive_199,9.0,1.0,0.0,0.0,1
CPP_positive_200,4.0,0.0,2.0,1.0,1
CPP_positive_201,7.0,0.0,0.0,0.0,1
CPP_positive_202,4.0,0.0,2.0,1.0,1
CPP_positive_203,4.0,0.0,1.0,0.0,1
CPP_positive_204,4.0,0.0,0.0,0.0,1
CPP_positive_205,4.0,0.0,0.0,0.0,1
CPP_positive_206,6.0,0.0,1.0,0.0,1
CPP_positive_207,4.0,0.0,0.0,2.0,1
CPP_positive_208,7.0,0.0,0.0,0.0,1
CPP_positive_209,3.0,2.0,1.0,2.0,1
CPP_positive_210,2.0,0.0,1.0,1.0,1
CPP_positive_211,2.0,1.0,0.0,1.0,1
CPP_positive_212,0.0,4.0,0.0,0.0,1
CPP_positive_213,3.0,1.0,0.0,1.0,1
CPP_positive_214,2.0,2.0,1.0,0.0,1
CPP_positive_215,2.0,2.0,1.0,0.0,1
CPP_positive_216,2.0,2.0,1.0,0.0,1
CPP_positive_217,3.0,1.0,1.0,0.0,1
CPP_positive_218,4.0,1.0,1.0,0.0,1
CPP_positive_219,4.0,1.0,1.0,0.0,1
CPP_positive_220,5.0,0.0,1.0,0.0,1
CPP_positive_221,4.0,0.0,1.0,0.0,1
CPP_positive_222,4.0,0.0,1.0,0.0,1
CPP_positive_223,2.0,1.0,2.0,0.0,1
CPP_positive_224,5.0,0.0,0.0,0.0,1
CPP_positive_225,4.0,1.0,3.0,0.0,1
CPP_positive_226,6.0,0.0,2.0,0.0,1
CPP_positive_227,4.0,0.0,2.0,0.0,1
CPP_positive_228,2.0,1.0,1.0,0.0,1
CPP_positive_229,8.0,0.0,1.0,0.0,1
CPP_positive_230,10.0,0.0,0.0,0.0,1
CPP_positive_231,0.0,3.0,4.0,2.0,1
CPP_positive_232,2.0,2.0,0.0,0.0,1
CPP_positive_233,5.0,0.0,0.0,0.0,1
CPP_positive_234,4.0,0.0,1.0,0.0,1
CPP_positive_235,3.0,1.0,0.0,1.0,1
CPP_positive_236,5.0,0.0,0.0,0.0,1
CPP_positive_237,5.0,0.0,0.0,0.0,1
CPP_positive_238,5.0,1.0,1.0,0.0,1
CPP_positive_239,7.0,0.0,0.0,0.0,1
CPP_positive_240,4.0,3.0,3.0,0.0,1
CPP_positive_241,3.0,2.0,3.0,2.0,1
CPP_positive_242,1.0,2.0,3.0,1.0,1
CPP_positive_243,1.0,4.0,1.0,0.0,1
CPP_positive_244,9.0,0.0,0.0,0.0,1
CPP_positive_245,3.0,1.0,2.0,0.0,1
CPP_positive_246,3.0,2.0,2.0,2.0,1
CPP_positive_247,4.0,2.0,2.0,1.0,1
CPP_positive_248,3.0,3.0,2.0,1.0,1
CPP_positive_249,1.0,4.0,1.0,0.0,1
CPP_positive_250,2.0,4.0,2.0,1.0,1
CPP_positive_251,5.0,1.0,0.0,0.0,1
CPP_positive_252,1.0,2.0,3.0,0.0,1
CPP_positive_253,3.0,1.0,1.0,1.0,1
CPP_positive_254,3.0,1.0,1.0,1.0,1
CPP_positive_255,1.0,4.0,1.0,0.0,1
CPP_positive_256,1.0,4.0,1.0,0.0,1
CPP_positive_257,3.0,0.0,0.0,3.0,1
CPP_positive_258,4.0,1.0,0.0,0.0,1
CPP_positive_259,4.0,0.0,0.0,0.0,1
CPP_positive_260,6.0,0.0,0.0,0.0,1
CPP_positive_261,6.0,0.0,0.0,0.0,1
CPP_positive_262,6.0,0.0,0.0,0.0,1
CPP_positive_263,4.0,1.0,1.0,0.0,1
CPP_positive_264,4.0,1.0,0.0,0.0,1
CPP_positive_265,6.0,1.0,0.0,0.0,1
CPP_positive_266,6.0,2.0,1.0,0.0,1
CPP_positive_267,6.0,0.0,3.0,1.0,1
CPP_positive_268,5.0,1.0,3.0,0.0,1
CPP_positive_269,9.0,0.0,0.0,0.0,1
CPP_positive_270,4.0,0.0,1.0,0.0,1
CPP_positive_271,2.0,2.0,1.0,0.0,1
CPP_positive_272,2.0,2.0,0.0,1.0,1
CPP_positive_273,4.0,2.0,0.0,0.0,1
CPP_positive_274,3.0,1.0,1.0,0.0,1
CPP_positive_275,8.0,2.0,0.0,0.0,1
CPP_positive_276,5.0,0.0,0.0,0.0,1
CPP_positive_277,6.0,0.0,0.0,0.0,1
CPP_positive_278,5.0,0.0,0.0,0.0,1
CPP_positive_279,0.0,2.0,3.0,0.0,1
CPP_positive_280,4.0,1.0,2.0,0.0,1
CPP_positive_281,2.0,2.0,0.0,0.0,1
CPP_positive_282,3.0,1.0,0.0,0.0,1
CPP_positive_283,7.0,0.0,1.0,0.0,1
CPP_positive_284,5.0,0.0,0.0,0.0,1
CPP_positive_285,6.0,0.0,1.0,0.0,1
CPP_positive_286,6.0,1.0,0.0,0.0,1
CPP_positive_287,6.0,0.0,1.0,0.0,1
CPP_positive_288,8.0,1.0,0.0,0.0,1
CPP_positive_289,7.0,1.0,0.0,0.0,1
CPP_positive_290,5.0,2.0,0.0,0.0,1
CPP_positive_291,1.0,1.0,2.0,3.0,1
CPP_positive_292,4.0,0.0,0.0,0.0,1
CPP_positive_293,4.0,3.0,2.0,0.0,1
CPP_positive_294,4.0,2.0,1.0,0.0,1
CPP_positive_295,4.0,0.0,0.0,0.0,1
CPP_positive_296,3.0,0.0,0.0,1.0,1
CPP_positive_297,3.0,0.0,0.0,1.0,1
CPP_positive_298,3.0,1.0,0.0,0.0,1
CPP_positive_299,2.0,0.0,0.0,3.0,1
CPP_positive_300,5.0,0.0,2.0,1.0,1
CPP_positive_301,3.0,0.0,2.0,0.0,1
CPP_positive_302,2.0,2.0,0.0,1.0,1
CPP_positive_303,2.0,0.0,1.0,2.0,1
CPP_positive_304,3.0,1.0,1.0,0.0,1
CPP_positive_305,4.0,1.0,0.0,1.0,1
CPP_positive_306,4.0,1.0,4.0,0.0,1
CPP_positive_307,4.0,0.0,0.0,0.0,1
CPP_positive_308,1.0,0.0,3.0,0.0,1
CPP_positive_309,6.0,0.0,0.0,0.0,1
CPP_positive_310,6.0,0.0,0.0,0.0,1
CPP_positive_311,9.0,0.0,0.0,0.0,1
CPP_positive_312,4.0,1.0,0.0,0.0,1
CPP_positive_313,3.0,1.0,2.0,0.0,1
CPP_positive_314,2.0,2.0,0.0,1.0,1
CPP_positive_315,6.0,1.0,0.0,2.0,1
CPP_positive_316,5.0,2.0,1.0,1.0,1
CPP_positive_317,4.0,2.0,4.0,0.0,1
CPP_positive_318,2.0,1.0,2.0,2.0,1
CPP_positive_319,7.0,0.0,1.0,0.0,1
CPP_positive_320,6.0,0.0,0.0,0.0,1
CPP_positive_321,5.0,0.0,0.0,0.0,1
CPP_positive_322,4.0,0.0,0.0,0.0,1
CPP_positive_323,5.0,0.0,0.0,0.0,1
CPP_positive_324,6.0,0.0,0.0,0.0,1
CPP_positive_325,5.0,0.0,1.0,0.0,1
CPP_positive_326,4.0,0.0,2.0,0.0,1
CPP_positive_327,3.0,1.0,0.0,0.0,1
CPP_positive_328,5.0,0.0,0.0,0.0,1
CPP_positive_329,2.0,0.0,2.0,0.0,1
CPP_positive_330,3.0,0.0,1.0,0.0,1
CPP_positive_331,3.0,0.0,1.0,0.0,1
CPP_positive_332,1.0,0.0,3.0,0.0,1
CPP_positive_333,5.0,1.0,0.0,1.0,1
CPP_positive_334,6.0,1.0,1.0,0.0,1
CPP_positive_335,3.0,0.0,1.0,0.0,1
CPP_positive_336,2.0,0.0,2.0,0.0,1
CPP_positive_337,4.0,0.0,0.0,0.0,1
CPP_positive_338,4.0,0.0,0.0,0.0,1
CPP_positive_339,4.0,0.0,0.0,0.0,1
CPP_positive_340,4.0,0.0,0.0,0.0,1
CPP_positive_341,4.0,0.0,0.0,0.0,1
CPP_positive_342,3.0,1.0,0.0,0.0,1
CPP_positive_343,3.0,1.0,0.0,0.0,1
CPP_positive_344,1.0,2.0,1.0,0.0,1
CPP_positive_345,4.0,0.0,0.0,0.0,1
CPP_positive_346,2.0,2.0,0.0,0.0,1
CPP_positive_347,3.0,1.0,0.0,0.0,1
CPP_positive_348,1.0,2.0,1.0,0.0,1
CPP_positive_349,3.0,1.0,0.0,0.0,1
CPP_positive_350,0.0,3.0,1.0,0.0,1
CPP_positive_351,2.0,0.0,2.0,0.0,1
CPP_positive_352,1.0,1.0,1.0,1.0,1
CPP_positive_353,2.0,0.0,1.0,1.0,1
CPP_positive_354,2.0,0.0,2.0,0.0,1
CPP_positive_355,1.0,2.0,1.0,0.0,1
CPP_positive_356,1.0,0.0,1.0,2.0,1
CPP_positive_357,3.0,1.0,0.0,0.0,1
CPP_positive_358,1.0,3.0,0.0,0.0,1
CPP_positive_359,1.0,1.0,2.0,0.0,1
CPP_positive_360,2.0,1.0,1.0,0.0,1
CPP_positive_361,3.0,0.0,1.0,0.0,1
CPP_positive_362,2.0,1.0,1.0,0.0,1
CPP_positive_363,2.0,1.0,1.0,0.0,1
CPP_positive_364,3.0,0.0,1.0,0.0,1
CPP_positive_365,2.0,2.0,0.0,0.0,1
CPP_positive_366,4.0,0.0,0.0,0.0,1
CPP_positive_367,3.0,1.0,0.0,0.0,1
CPP_positive_368,3.0,0.0,1.0,0.0,1
CPP_positive_369,4.0,0.0,0.0,0.0,1
CPP_positive_370,3.0,1.0,0.0,0.0,1
CPP_positive_371,2.0,0.0,1.0,1.0,1
CPP_positive_372,3.0,0.0,1.0,0.0,1
CPP_positive_373,2.0,1.0,1.0,0.0,1
CPP_positive_374,2.0,3.0,1.0,1.0,1
CPP_positive_375,4.0,1.0,2.0,2.0,1
CPP_positive_376,3.0,0.0,1.0,0.0,1
CPP_positive_377,3.0,0.0,1.0,0.0,1
CPP_positive_378,4.0,1.0,2.0,0.0,1
CPP_positive_379,7.0,1.0,0.0,2.0,1
CPP_positive_380,7.0,2.0,1.0,0.0,1
CPP_positive_381,8.0,0.0,2.0,0.0,1
CPP_positive_382,6.0,1.0,1.0,0.0,1
CPP_positive_383,2.0,1.0,1.0,1.0,1
CPP_positive_384,7.0,1.0,0.0,1.0,1
CPP_positive_385,2.0,2.0,1.0,1.0,1
CPP_positive_386,2.0,1.0,1.0,1.0,1
CPP_positive_387,0.0,2.0,2.0,0.0,1
CPP_positive_388,0.0,2.0,2.0,0.0,1
CPP_positive_389,4.0,1.0,0.0,0.0,1
CPP_positive_390,6.0,1.0,0.0,0.0,1
CPP_positive_391,4.0,2.0,0.0,3.0,1
CPP_positive_392,10.0,0.0,0.0,0.0,1
CPP_positive_393,7.0,0.0,2.0,0.0,1
CPP_positive_394,6.0,0.0,0.0,0.0,1
CPP_positive_395,9.0,1.0,0.0,0.0,1
CPP_positive_396,9.0,1.0,0.0,0.0,1
CPP_positive_397,11.0,0.0,0.0,0.0,1
CPP_positive_398,11.0,0.0,0.0,0.0,1
CPP_positive_399,7.0,1.0,1.0,1.0,1
CPP_positive_400,7.0,1.0,2.0,2.0,1
CPP_positive_401,12.0,0.0,0.0,0.0,1
CPP_positive_402,12.0,0.0,0.0,0.0,1
CPP_positive_403,5.0,2.0,2.0,1.0,1
CPP_positive_404,7.0,0.0,0.0,2.0,1
CPP_positive_405,6.0,1.0,0.0,1.0,1
CPP_positive_406,9.0,0.0,1.0,1.0,1
CPP_positive_407,11.0,0.0,1.0,0.0,1
CPP_positive_408,8.0,0.0,4.0,0.0,1
CPP_positive_409,3.0,1.0,1.0,0.0,1
CPP_positive_410,6.0,0.0,0.0,0.0,1
CPP_positive_411,6.0,0.0,0.0,0.0,1
CPP_positive_412,6.0,0.0,0.0,0.0,1
CPP_positive_413,6.0,0.0,0.0,0.0,1
CPP_positive_414,8.0,0.0,0.0,0.0,1
CPP_positive_415,8.0,0.0,0.0,0.0,1
CPP_positive_416,5.0,0.0,1.0,0.0,1
CPP_positive_417,5.0,0.0,2.0,0.0,1
CPP_positive_418,2.0,3.0,8.0,0.0,1
CPP_positive_419,6.0,3.0,4.0,0.0,1
CPP_positive_420,7.0,3.0,3.0,0.0,1
CPP_positive_421,7.0,3.0,3.0,0.0,1
CPP_positive_422,2.0,2.0,9.0,0.0,1
CPP_positive_423,13.0,0.0,0.0,0.0,1
CPP_positive_424,3.0,2.0,7.0,0.0,1
CPP_positive_425,8.0,2.0,3.0,0.0,1
CPP_positive_426,0.0,2.0,2.0,1.0,1
CPP_positive_427,4.0,2.0,1.0,0.0,1
CPP_positive_428,5.0,0.0,0.0,0.0,1
CPP_positive_429,5.0,0.0,0.0,0.0,1
CPP_positive_430,9.0,1.0,1.0,0.0,1
CPP_positive_431,5.0,0.0,0.0,0.0,1
CPP_positive_432,5.0,0.0,0.0,0.0,1
CPP_positive_433,5.0,2.0,3.0,0.0,1
CPP_positive_434,9.0,1.0,2.0,1.0,1
CPP_positive_435,7.0,2.0,2.0,0.0,1
CPP_positive_436,8.0,1.0,1.0,0.0,1
CPP_positive_437,8.0,2.0,1.0,0.0,1
CPP_positive_438,4.0,3.0,4.0,0.0,1
CPP_positive_439,9.0,0.0,3.0,1.0,1
CPP_positive_440,6.0,2.0,2.0,1.0,1
CPP_positive_441,3.0,4.0,4.0,0.0,1
CPP_positive_442,12.0,0.0,0.0,0.0,1
CPP_positive_443,2.0,1.0,0.0,1.0,1
CPP_positive_444,8.0,3.0,0.0,0.0,1
CPP_positive_445,8.0,2.0,1.0,0.0,1
CPP_positive_446,11.0,1.0,0.0,0.0,1
CPP_positive_447,9.0,2.0,1.0,0.0,1
CPP_positive_448,6.0,3.0,3.0,0.0,1
CPP_positive_449,10.0,1.0,0.0,0.0,1
CPP_positive_450,8.0,2.0,2.0,1.0,1
CPP_positive_451,7.0,0.0,4.0,0.0,1
CPP_positive_452,3.0,0.0,0.0,0.0,1
CPP_positive_453,13.0,0.0,0.0,0.0,1
CPP_positive_454,9.0,1.0,0.0,1.0,1
CPP_positive_455,8.0,1.0,3.0,0.0,1
CPP_positive_456,10.0,1.0,2.0,0.0,1
CPP_positive_457,8.0,2.0,2.0,0.0,1
CPP_positive_458,8.0,2.0,2.0,0.0,1
CPP_positive_459,8.0,2.0,0.0,0.0,1
CPP_positive_460,9.0,1.0,1.0,0.0,1
CPP_positive_461,7.0,2.0,3.0,1.0,1
CPP_positive_462,6.0,0.0,0.0,0.0,1
CPP_positive_463,3.0,0.0,0.0,0.0,1
CPP_positive_464,2.0,0.0,1.0,0.0,1
CPP_positive_465,2.0,1.0,0.0,0.0,1
CPP_positive_466,2.0,1.0,0.0,0.0,1
CPP_positive_467,2.0,1.0,0.0,0.0,1
CPP_positive_468,2.0,1.0,0.0,0.0,1
CPP_positive_469,2.0,0.0,2.0,0.0,1
CPP_positive_470,0.0,0.0,2.0,0.0,1
CPP_positive_471,6.0,0.0,0.0,0.0,1
CPP_positive_472,3.0,1.0,2.0,1.0,1
CPP_positive_473,4.0,0.0,0.0,0.0,1
CPP_positive_474,3.0,0.0,0.0,0.0,1
CPP_positive_475,1.0,1.0,1.0,0.0,1
CPP_positive_476,3.0,0.0,0.0,0.0,1
CPP_positive_477,3.0,2.0,0.0,1.0,1
CPP_positive_478,2.0,2.0,1.0,0.0,1
CPP_positive_479,4.0,0.0,0.0,0.0,1
CPP_positive_480,1.0,1.0,1.0,0.0,1
CPP_positive_481,1.0,0.0,3.0,0.0,1
CPP_positive_482,1.0,0.0,3.0,0.0,1
CPP_positive_483,1.0,0.0,2.0,0.0,1
CPP_positive_484,2.0,0.0,1.0,0.0,1
CPP_positive_485,3.0,0.0,1.0,0.0,1
CPP_positive_486,3.0,0.0,1.0,0.0,1
CPP_positive_487,1.0,0.0,2.0,0.0,1
CPP_positive_488,2.0,0.0,1.0,0.0,1
CPP_positive_489,1.0,0.0,2.0,0.0,1
CPP_positive_490,2.0,0.0,1.0,0.0,1
CPP_positive_491,2.0,0.0,1.0,0.0,1
CPP_positive_492,2.0,0.0,1.0,0.0,1
CPP_positive_493,2.0,0.0,0.0,0.0,1
CPP_positive_494,3.0,0.0,0.0,0.0,1
CPP_positive_495,3.0,0.0,0.0,0.0,1
CPP_positive_496,3.0,0.0,0.0,0.0,1
CPP_positive_497,3.0,0.0,0.0,0.0,1
CPP_positive_498,2.0,2.0,1.0,0.0,1
CPP_positive_499,2.0,2.0,1.0,0.0,1
CPP_positive_500,2.0,2.0,1.0,0.0,1
CPP_positive_501,2.0,2.0,1.0,0.0,1
CPP_positive_502,2.0,2.0,1.0,0.0,1
CPP_positive_503,3.0,2.0,0.0,0.0,1
CPP_positive_504,2.0,2.0,1.0,0.0,1
CPP_positive_505,2.0,2.0,1.0,0.0,1
CPP_positive_506,3.0,0.0,0.0,0.0,1
CPP_positive_507,3.0,1.0,1.0,0.0,1
CPP_positive_508,3.0,1.0,1.0,0.0,1
CPP_positive_509,3.0,0.0,0.0,0.0,1
CPP_positive_510,2.0,1.0,0.0,0.0,1
CPP_positive_511,3.0,0.0,0.0,0.0,1
